Area,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_tot_grouped,t1,tsum,tot_tres_ratio
uk,pm25,grouped,2015,2024,sec01,A_PublicPower,1,PublicPower,annual,3228.78394038143,3228.78394038143,3228.78394038143,1
ie,pm25,grouped,2015,2024,sec01,A_PublicPower,1,PublicPower,annual,438.40054091136,438.40054091136,438.40054091136,1
sea,pm25,grouped,2015,2024,sec01,A_PublicPower,1,PublicPower,annual,3.76151868120051,3.76151868120051,3.76151868120051,1
ow,pm25,grouped,2015,2024,sec01,A_PublicPower,1,PublicPower,annual,791.311984359495,791.311984359495,791.311984359495,1
uk,pm25,grouped,2015,2024,sec02,B_Industry,3,Industry,annual,17174.4287331485,17174.4287331485,17174.4287331485,1
ie,pm25,grouped,2015,2024,sec02,B_Industry,3,Industry,annual,2215.16118029357,2215.16118029357,2215.16118029357,1
sea,pm25,grouped,2015,2024,sec02,B_Industry,3,Industry,annual,1.67043325367925,1.67043325367925,1.67043325367925,1
ow,pm25,grouped,2015,2024,sec02,B_Industry,3,Industry,annual,0.00024640188125475,0.00024640188125475,0.00024640188125475,1
uk,pm25,grouped,2015,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,19001.4001719229,19001.4001719229,19001.4001719229,1
ie,pm25,grouped,2015,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,8003.68563766785,8003.68563766785,8003.68563766785,1
sea,pm25,grouped,2015,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0.195680631993837,0.195680631993837,0.195680631993837,1
ow,pm25,grouped,2015,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0,0,0,
uk,pm25,grouped,2015,2024,sec04,D_Fugitive,5,Fugitive,annual,57.5258250380397,57.5258250380397,57.5258250380397,1
ie,pm25,grouped,2015,2024,sec04,D_Fugitive,5,Fugitive,annual,13.3002888970987,13.3002888970987,13.3002888970987,1
sea,pm25,grouped,2015,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
ow,pm25,grouped,2015,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
uk,pm25,grouped,2015,2024,sec05,E_Solvents,6,Solvents,annual,1949.94458876006,1949.94458876006,1949.94458876006,1
ie,pm25,grouped,2015,2024,sec05,E_Solvents,6,Solvents,annual,138.1395795352,138.1395795352,138.1395795352,1
sea,pm25,grouped,2015,2024,sec05,E_Solvents,6,Solvents,annual,0.00118632791378552,0.00118632791378552,0.00118632791378552,1
ow,pm25,grouped,2015,2024,sec05,E_Solvents,6,Solvents,annual,0,0,0,
uk,pm25,grouped,2015,2024,sec06,F_RoadTransport,7,RoadTransport,annual,22155.180820535,22155.180820535,22155.180820535,1
ie,pm25,grouped,2015,2024,sec06,F_RoadTransport,7,RoadTransport,annual,2010.89098511528,2010.89098511528,2010.89098511528,1
sea,pm25,grouped,2015,2024,sec06,F_RoadTransport,7,RoadTransport,annual,0.00487171909878964,0.00487171909878964,0.00487171909878964,1
ow,pm25,grouped,2015,2024,sec06,F_RoadTransport,7,RoadTransport,annual,0,0,0,
uk,pm25,grouped,2015,2024,sec07,G_Shipping,8,Shipping,annual,0,0,0,
ie,pm25,grouped,2015,2024,sec07,G_Shipping,8,Shipping,annual,13.2696187025514,13.2696187025514,13.2696187025514,1
sea,pm25,grouped,2015,2024,sec07,G_Shipping,8,Shipping,annual,30.4893302605677,30.4893302605677,30.4893302605677,1
ow,pm25,grouped,2015,2024,sec07,G_Shipping,8,Shipping,annual,15.7365464532194,15.7365464532194,15.7365464532194,1
uk,pm25,grouped,2015,2024,sec08,H_Aviation,8,Aviation,annual,0,0,0,
ie,pm25,grouped,2015,2024,sec08,H_Aviation,8,Aviation,annual,9.81966177454828,9.81966177454828,9.81966177454828,1
sea,pm25,grouped,2015,2024,sec08,H_Aviation,8,Aviation,annual,5.00356730146284e-05,5.00356730146284e-05,5.00356730146284e-05,1
ow,pm25,grouped,2015,2024,sec08,H_Aviation,8,Aviation,annual,0,0,0,
uk,pm25,grouped,2015,2024,sec09,I_Offroad,8,Offroad,annual,6007.39517523744,6007.39517523744,6007.39517523744,1
ie,pm25,grouped,2015,2024,sec09,I_Offroad,8,Offroad,annual,167.770188672591,167.770188672591,167.770188672591,1
sea,pm25,grouped,2015,2024,sec09,I_Offroad,8,Offroad,annual,992.705339752523,992.705339752523,992.705339752523,1
ow,pm25,grouped,2015,2024,sec09,I_Offroad,8,Offroad,annual,5752.57555027407,5752.57555027407,5752.57555027407,1
uk,pm25,grouped,2015,2024,sec10,J_Waste,9,Waste,annual,5154.01334791376,5154.01334791376,5154.01334791376,1
ie,pm25,grouped,2015,2024,sec10,J_Waste,9,Waste,annual,358.252058755375,358.252058755375,358.252058755375,1
sea,pm25,grouped,2015,2024,sec10,J_Waste,9,Waste,annual,0.0404203962820702,0.0404203962820702,0.0404203962820702,1
ow,pm25,grouped,2015,2024,sec10,J_Waste,9,Waste,annual,0,0,0,
uk,pm25,grouped,2015,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,2782.01062286064,2782.01062286064,2782.01062286064,1
ie,pm25,grouped,2015,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,749.219073457081,749.219073457081,749.219073457081,1
sea,pm25,grouped,2015,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,0.0497457812211569,0.0497457812211569,0.0497457812211569,1
ow,pm25,grouped,2015,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,0,0,0,
uk,pm25,grouped,2015,2024,sec12,L_AgriOther,10,AgriOther,annual,0,0,0,
ie,pm25,grouped,2015,2024,sec12,L_AgriOther,10,AgriOther,annual,54.5123606289749,54.5123606289749,54.5123606289749,1
sea,pm25,grouped,2015,2024,sec12,L_AgriOther,10,AgriOther,annual,5.43710251605356e-05,5.43710251605356e-05,5.43710251605356e-05,1
ow,pm25,grouped,2015,2024,sec12,L_AgriOther,10,AgriOther,annual,0,0,0,
uk,pm25,grouped,2015,2024,sec13,M_Other,11,Other,annual,2392.089499669,2392.089499669,2392.089499669,1
ie,pm25,grouped,2015,2024,sec13,M_Other,11,Other,annual,0,0,0,
sea,pm25,grouped,2015,2024,sec13,M_Other,11,Other,annual,0.00111553971257665,0.00111553971257665,0.00111553971257665,1
ow,pm25,grouped,2015,2024,sec13,M_Other,11,Other,annual,0,0,0,
